epoch,step,train_loss,val_acc,val_loss
0,214,,0.8479999899864197,0.4163074791431427
0,214,0.5895063281059265,,
1,429,,0.8655999898910522,0.3601768910884857
1,429,0.39357656240463257,,
2,644,,0.8723999857902527,0.3382077217102051
2,644,0.3478794991970062,,
3,859,,0.8769999742507935,0.3161979615688324
3,859,0.3217453360557556,,
4,1074,,0.8677999973297119,0.34187182784080505
4,1074,0.3026758134365082,,
5,1289,,0.8894000053405762,0.2995120882987976
5,1289,0.2896054685115814,,
6,1504,,0.894599974155426,0.2842496633529663
6,1504,0.28160426020622253,,
7,1719,,0.8920000195503235,0.27727439999580383
7,1719,0.27003714442253113,,
8,1934,,0.8949999809265137,0.2780897617340088
8,1934,0.2634681165218353,,
9,2149,,0.8988000154495239,0.27043187618255615
9,2149,0.25723788142204285,,
10,2364,,0.90420001745224,0.25825977325439453
10,2364,0.24729196727275848,,
