epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,214,,,,0.8822000026702881,0.32547634840011597
0,214,,,0.533477783203125,,
1,429,,,,0.8841999769210815,0.3046315312385559
1,429,,,0.3264507055282593,,
2,644,,,,0.8755999803543091,0.35194626450538635
2,644,,,0.2786339521408081,,
3,859,,,,0.9089999794960022,0.24512498080730438
3,859,,,0.2558109760284424,,
4,1074,,,,0.9017999768257141,0.25358614325523376
4,1074,,,0.2312265932559967,,
5,1289,,,,0.9079999923706055,0.24231675267219543
5,1289,,,0.21943354606628418,,
6,1504,,,,0.9190000295639038,0.21710453927516937
6,1504,,,0.20863117277622223,,
7,1719,,,,0.9146000146865845,0.23497457802295685
7,1719,,,0.19661056995391846,,
8,1934,,,,0.920199990272522,0.20888961851596832
8,1934,,,0.18727761507034302,,
9,2149,,,,0.925599992275238,0.2051781266927719
9,2149,,,0.18235379457473755,,
10,2364,,,,0.9246000051498413,0.20827366411685944
10,2364,,,0.1741359680891037,,
11,2579,,,,0.9247999787330627,0.20576947927474976
11,2579,,,0.16710780560970306,,
12,2794,,,,0.9243999719619751,0.20446044206619263
12,2794,,,0.15748728811740875,,
13,3009,,,,0.9276000261306763,0.2040504515171051
13,3009,,,0.15688550472259521,,
14,3224,,,,0.9314000010490417,0.18195249140262604
14,3224,,,0.15444566309452057,,
15,3439,,,,0.9273999929428101,0.20770473778247833
15,3439,,,0.14242622256278992,,
16,3654,,,,0.9309999942779541,0.21204878389835358
16,3654,,,0.1380700170993805,,
17,3869,,,,0.9309999942779541,0.1865604668855667
17,3869,,,0.13625921308994293,,
18,4084,,,,0.9309999942779541,0.19347135722637177
18,4084,,,0.1302211582660675,,
19,4299,,,,0.9326000213623047,0.18592321872711182
19,4299,,,0.12693600356578827,,
20,4300,0.9291999936103821,0.20193253457546234,,,
