epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,214,,,,0.8817999958992004,0.32494163513183594
0,214,,,0.5068832635879517,,
1,429,,,,0.8866000175476074,0.3022736608982086
1,429,,,0.3067655861377716,,
2,644,,,,0.8931999802589417,0.28925302624702454
2,644,,,0.2611801028251648,,
3,859,,,,0.9035999774932861,0.26175278425216675
3,859,,,0.2277398258447647,,
4,1074,,,,0.8899999856948853,0.28590139746665955
4,1074,,,0.20681825280189514,,
5,1289,,,,0.9028000235557556,0.26848533749580383
5,1289,,,0.18618789315223694,,
6,1504,,,,0.902400016784668,0.27458900213241577
6,1504,,,0.1699134260416031,,
7,1719,,,,0.9107999801635742,0.2588980197906494
7,1719,,,0.15570375323295593,,
8,1934,,,,0.90420001745224,0.2746981084346771
8,1934,,,0.13764402270317078,,
9,2149,,,,0.902400016784668,0.3117108643054962
9,2149,,,0.1253538578748703,,
10,2364,,,,0.909600019454956,0.276702880859375
10,2364,,,0.11799922585487366,,
11,2579,,,,0.9136000275611877,0.28405821323394775
11,2579,,,0.10612290352582932,,
12,2794,,,,0.9092000126838684,0.29979407787323
12,2794,,,0.0944514125585556,,
13,3009,,,,0.9079999923706055,0.2974519729614258
13,3009,,,0.08804479986429214,,
14,3224,,,,0.9083999991416931,0.314360111951828
14,3224,,,0.07935360074043274,,
15,3439,,,,0.9052000045776367,0.3437584340572357
15,3439,,,0.0675455778837204,,
16,3654,,,,0.9047999978065491,0.35011544823646545
16,3654,,,0.06586070358753204,,
17,3869,,,,0.9071999788284302,0.3771129846572876
17,3869,,,0.05774746835231781,,
18,4084,,,,0.906000018119812,0.36197543144226074
18,4084,,,0.05527587980031967,,
19,4299,,,,0.8988000154495239,0.40841439366340637
19,4299,,,0.05693880841135979,,
20,4300,0.9075000286102295,0.30029168725013733,,,
