epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,214,,,,0.8827999830245972,0.3299221396446228
0,214,,,0.5175350308418274,,
1,429,,,,0.8996000289916992,0.2762601673603058
1,429,,,0.31605279445648193,,
2,644,,,,0.8661999702453613,0.3654341697692871
2,644,,,0.27049514651298523,,
3,859,,,,0.9089999794960022,0.2507837414741516
3,859,,,0.2466266006231308,,
4,1074,,,,0.9103999733924866,0.2339225560426712
4,1074,,,0.22425690293312073,,
5,1289,,,,0.9089999794960022,0.24696896970272064
5,1289,,,0.21179932355880737,,
6,1504,,,,0.9228000044822693,0.21568630635738373
6,1504,,,0.19973807036876678,,
7,1719,,,,0.9151999950408936,0.2385992407798767
7,1719,,,0.19240370392799377,,
8,1934,,,,0.925599992275238,0.20705263316631317
8,1934,,,0.18068766593933105,,
9,2149,,,,0.9290000200271606,0.19298943877220154
9,2149,,,0.17672841250896454,,
10,2364,,,,0.9156000018119812,0.23450490832328796
10,2364,,,0.16879765689373016,,
11,2579,,,,0.925000011920929,0.20700031518936157
11,2579,,,0.16125692427158356,,
12,2794,,,,0.9259999990463257,0.2167125940322876
12,2794,,,0.15105295181274414,,
13,3009,,,,0.9259999990463257,0.21590979397296906
13,3009,,,0.15027041733264923,,
14,3224,,,,0.9279999732971191,0.198763906955719
14,3224,,,0.14591871201992035,,
15,3439,,,,0.9247999787330627,0.20902104675769806
15,3439,,,0.1391753852367401,,
16,3654,,,,0.930400013923645,0.19926437735557556
16,3654,,,0.13417650759220123,,
17,3869,,,,0.9273999929428101,0.19523583352565765
17,3869,,,0.13257724046707153,,
18,4084,,,,0.9290000200271606,0.19518937170505524
18,4084,,,0.12664707005023956,,
19,4299,,,,0.9259999990463257,0.21178755164146423
19,4299,,,0.12265902012586594,,
20,4514,,,,0.9264000058174133,0.2102794200181961
20,4514,,,0.11916647851467133,,
21,4729,,,,0.9319999814033508,0.19143247604370117
21,4729,,,0.11448550969362259,,
22,4944,,,,0.9309999942779541,0.2062569111585617
22,4944,,,0.10917119681835175,,
23,5159,,,,0.9290000200271606,0.1995735466480255
23,5159,,,0.10290637612342834,,
24,5374,,,,0.9312000274658203,0.21194584667682648
24,5374,,,0.10591908544301987,,
25,5589,,,,0.9314000010490417,0.20504875481128693
25,5589,,,0.1003364846110344,,
26,5804,,,,0.930400013923645,0.19751501083374023
26,5804,,,0.0941939577460289,,
27,6019,,,,0.9282000064849854,0.24827292561531067
27,6019,,,0.09314026683568954,,
28,6234,,,,0.9301999807357788,0.2163335680961609
28,6234,,,0.09074420481920242,,
29,6449,,,,0.9362000226974487,0.2237958312034607
29,6449,,,0.08660373836755753,,
30,6664,,,,0.9368000030517578,0.1988414227962494
30,6664,,,0.08701587468385696,,
31,6879,,,,0.9291999936103821,0.22095836699008942
31,6879,,,0.08446460962295532,,
32,7094,,,,0.9359999895095825,0.1969139128923416
32,7094,,,0.08005785942077637,,
33,7309,,,,0.9368000030517578,0.20931892096996307
33,7309,,,0.07584291696548462,,
34,7524,,,,0.9350000023841858,0.2187081277370453
34,7524,,,0.07202564924955368,,
35,7739,,,,0.9345999956130981,0.22984474897384644
35,7739,,,0.07561106234788895,,
36,7954,,,,0.9391999840736389,0.2102309763431549
36,7954,,,0.07359488308429718,,
37,8169,,,,0.9376000165939331,0.20519135892391205
37,8169,,,0.06921128183603287,,
38,8384,,,,0.9350000023841858,0.22966371476650238
38,8384,,,0.06774689257144928,,
39,8599,,,,0.9333999752998352,0.24184799194335938
39,8599,,,0.06582716852426529,,
40,8600,0.930899977684021,0.2383473664522171,,,
