epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,214,,,,0.8202000260353088,0.47799623012542725
0,214,,,0.701909601688385,,
1,429,,,,0.8321999907493591,0.4397168457508087
1,429,,,0.458743155002594,,
2,644,,,,0.8650000095367432,0.3539368510246277
2,644,,,0.3989535868167877,,
3,859,,,,0.8496000170707703,0.39791661500930786
3,859,,,0.3695147633552551,,
4,1074,,,,0.878600001335144,0.31985464692115784
4,1074,,,0.3428073823451996,,
5,1289,,,,0.8827999830245972,0.31412091851234436
5,1289,,,0.32554975152015686,,
6,1504,,,,0.8880000114440918,0.2991423010826111
6,1504,,,0.3177998960018158,,
7,1719,,,,0.8884000182151794,0.3021562993526459
7,1719,,,0.30671095848083496,,
8,1934,,,,0.885200023651123,0.2982266843318939
8,1934,,,0.2953808307647705,,
9,2149,,,,0.8934000134468079,0.280661016702652
9,2149,,,0.28884613513946533,,
10,2364,,,,0.890999972820282,0.27584680914878845
10,2364,,,0.27893105149269104,,
11,2579,,,,0.8920000195503235,0.29102855920791626
11,2579,,,0.2768171727657318,,
12,2794,,,,0.8925999999046326,0.28522366285324097
12,2794,,,0.2707151472568512,,
13,3009,,,,0.8985999822616577,0.2802879512310028
13,3009,,,0.26142314076423645,,
14,3224,,,,0.9031999707221985,0.26162633299827576
14,3224,,,0.26310664415359497,,
15,3439,,,,0.9020000100135803,0.26875627040863037
15,3439,,,0.25323015451431274,,
16,3654,,,,0.9065999984741211,0.25983449816703796
16,3654,,,0.24740205705165863,,
17,3869,,,,0.8970000147819519,0.27235209941864014
17,3869,,,0.2462754100561142,,
18,4084,,,,0.9038000106811523,0.2457105666399002
18,4084,,,0.24512681365013123,,
19,4299,,,,0.902999997138977,0.26123636960983276
19,4299,,,0.23886583745479584,,
20,4300,0.9054999947547913,0.26899755001068115,,,
