epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,214,,,,0.84579998254776,0.41787323355674744
0,214,,,0.6583128571510315,,
1,429,,,,0.8601999878883362,0.37854140996932983
1,429,,,0.3866007924079895,,
2,644,,,,0.8812000155448914,0.3345738649368286
2,644,,,0.3399331569671631,,
3,859,,,,0.8835999965667725,0.3240799903869629
3,859,,,0.314195454120636,,
4,1074,,,,0.8823999762535095,0.32423636317253113
4,1074,,,0.29456281661987305,,
5,1289,,,,0.8859999775886536,0.32155919075012207
5,1289,,,0.2818216383457184,,
6,1504,,,,0.8858000040054321,0.31073102355003357
6,1504,,,0.26940542459487915,,
7,1719,,,,0.8881999850273132,0.30496299266815186
7,1719,,,0.2588135004043579,,
8,1934,,,,0.8913999795913696,0.3036036491394043
8,1934,,,0.24795307219028473,,
9,2149,,,,0.896399974822998,0.2926633059978485
9,2149,,,0.23978443443775177,,
10,2364,,,,0.8906000256538391,0.30952581763267517
10,2364,,,0.23058681190013885,,
11,2579,,,,0.8948000073432922,0.2967744767665863
11,2579,,,0.22496023774147034,,
12,2794,,,,0.8931999802589417,0.29644379019737244
12,2794,,,0.2188284993171692,,
13,3009,,,,0.8974000215530396,0.2871890664100647
13,3009,,,0.21143025159835815,,
14,3224,,,,0.8931999802589417,0.3007460832595825
14,3224,,,0.20243661105632782,,
15,3439,,,,0.8907999992370605,0.31227242946624756
15,3439,,,0.19837906956672668,,
16,3654,,,,0.8992000222206116,0.28993964195251465
16,3654,,,0.19335246086120605,,
17,3869,,,,0.8953999876976013,0.29810547828674316
17,3869,,,0.1863144338130951,,
18,4084,,,,0.8974000215530396,0.3003799617290497
18,4084,,,0.18036244809627533,,
19,4299,,,,0.8985999822616577,0.2887096703052521
19,4299,,,0.1752578318119049,,
20,4300,0.8964999914169312,0.3014957904815674,,,
