epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,214,,,,0.7731999754905701,0.5640303492546082
0,214,,,0.991923987865448,,
1,429,,,,0.8019999861717224,0.518903911113739
1,429,,,0.6558222770690918,,
2,644,,,,0.8216000199317932,0.4751242697238922
2,644,,,0.601093053817749,,
3,859,,,,0.8313999772071838,0.45328935980796814
3,859,,,0.5583236813545227,,
4,1074,,,,0.8370000123977661,0.42197856307029724
4,1074,,,0.5272524952888489,,
5,1289,,,,0.8375999927520752,0.4180751442909241
5,1289,,,0.5070764422416687,,
6,1504,,,,0.8546000123023987,0.3953515589237213
6,1504,,,0.4891796112060547,,
7,1719,,,,0.8661999702453613,0.3659409284591675
7,1719,,,0.47010672092437744,,
8,1934,,,,0.8610000014305115,0.38009387254714966
8,1934,,,0.46060118079185486,,
9,2149,,,,0.8587999939918518,0.35958197712898254
9,2149,,,0.4511452913284302,,
10,2364,,,,0.8669999837875366,0.35257089138031006
10,2364,,,0.43885689973831177,,
11,2579,,,,0.8682000041007996,0.34783637523651123
11,2579,,,0.4336830973625183,,
12,2794,,,,0.8748000264167786,0.3336874842643738
12,2794,,,0.4302413761615753,,
13,3009,,,,0.8694000244140625,0.3441118597984314
13,3009,,,0.4140525162220001,,
14,3224,,,,0.8715999722480774,0.3354068696498871
14,3224,,,0.4108761250972748,,
15,3439,,,,0.8763999938964844,0.3329536020755768
15,3439,,,0.40675777196884155,,
16,3654,,,,0.8708000183105469,0.3510053753852844
16,3654,,,0.39999881386756897,,
17,3869,,,,0.8830000162124634,0.3203175663948059
17,3869,,,0.40392550826072693,,
18,4084,,,,0.8769999742507935,0.319348007440567
18,4084,,,0.3937743902206421,,
19,4299,,,,0.8655999898910522,0.3669761121273041
19,4299,,,0.3895205855369568,,
20,4300,0.8743000030517578,0.3444474935531616,,,
