epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,214,,,,0.7289999723434448,0.7724637985229492
0,214,,,0.6485916376113892,,
1,429,,,,0.8682000041007996,0.35151419043540955
1,429,,,0.3543092608451843,,
2,644,,,,0.8381999731063843,0.4375650882720947
2,644,,,0.2967158854007721,,
3,859,,,,0.8889999985694885,0.30477049946784973
3,859,,,0.2646387815475464,,
4,1074,,,,0.8989999890327454,0.2679532766342163
4,1074,,,0.24874307215213776,,
5,1289,,,,0.9111999869346619,0.24090148508548737
5,1289,,,0.23036806285381317,,
6,1504,,,,0.8970000147819519,0.2778177559375763
6,1504,,,0.21875067055225372,,
7,1719,,,,0.8938000202178955,0.2694624662399292
7,1719,,,0.2072988748550415,,
8,1934,,,,0.9133999943733215,0.23285791277885437
8,1934,,,0.2017151266336441,,
9,2149,,,,0.9028000235557556,0.26500675082206726
9,2149,,,0.1962766796350479,,
10,2364,,,,0.9154000282287598,0.23552396893501282
10,2364,,,0.18338872492313385,,
11,2579,,,,0.9205999970436096,0.21387463808059692
11,2579,,,0.1764855533838272,,
12,2794,,,,0.9186000227928162,0.23111818730831146
12,2794,,,0.17265193164348602,,
13,3009,,,,0.9088000059127808,0.25330084562301636
13,3009,,,0.16754719614982605,,
14,3224,,,,0.9218000173568726,0.21411626040935516
14,3224,,,0.1655527949333191,,
15,3439,,,,0.9197999835014343,0.2146153599023819
15,3439,,,0.16180962324142456,,
16,3654,,,,0.9240000247955322,0.21964560449123383
16,3654,,,0.15334868431091309,,
17,3869,,,,0.9223999977111816,0.2304038107395172
17,3869,,,0.15333890914916992,,
18,4084,,,,0.9218000173568726,0.2226647287607193
18,4084,,,0.14535722136497498,,
19,4299,,,,0.9277999997138977,0.1985148936510086
19,4299,,,0.14336445927619934,,
20,4300,0.9199000000953674,0.23761533200740814,,,
