epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,214,,,,0.8446000218391418,0.4166916012763977
0,214,,,0.5888543128967285,,
1,429,,,,0.8651999831199646,0.35966619849205017
1,429,,,0.39297905564308167,,
2,644,,,,0.8740000128746033,0.3367473781108856
2,644,,,0.3477821946144104,,
3,859,,,,0.8763999938964844,0.32297706604003906
3,859,,,0.32296067476272583,,
4,1074,,,,0.8686000108718872,0.3391444981098175
4,1074,,,0.30430272221565247,,
5,1289,,,,0.8899999856948853,0.29235202074050903
5,1289,,,0.2898572087287903,,
6,1504,,,,0.8952000141143799,0.27795863151550293
6,1504,,,0.28201934695243835,,
7,1719,,,,0.8985999822616577,0.27569282054901123
7,1719,,,0.2705126404762268,,
8,1934,,,,0.8962000012397766,0.2713298797607422
8,1934,,,0.2635015547275543,,
9,2149,,,,0.8949999809265137,0.27406176924705505
9,2149,,,0.25534433126449585,,
10,2364,,,,0.9049999713897705,0.25517144799232483
10,2364,,,0.24628227949142456,,
11,2579,,,,0.8998000025749207,0.2719103693962097
11,2579,,,0.24068167805671692,,
12,2794,,,,0.9052000045776367,0.25349509716033936
12,2794,,,0.23437771201133728,,
13,3009,,,,0.9035999774932861,0.25206735730171204
13,3009,,,0.2311287671327591,,
14,3224,,,,0.9064000248908997,0.251905620098114
14,3224,,,0.22612275183200836,,
15,3439,,,,0.9082000255584717,0.23756542801856995
15,3439,,,0.22117798030376434,,
16,3654,,,,0.90420001745224,0.265252023935318
16,3654,,,0.2165759950876236,,
17,3869,,,,0.9100000262260437,0.242859348654747
17,3869,,,0.21319684386253357,,
18,4084,,,,0.9138000011444092,0.2356114536523819
18,4084,,,0.20539845526218414,,
19,4299,,,,0.9150000214576721,0.23250643908977509
19,4299,,,0.2072606235742569,,
20,4300,0.9075999855995178,0.2478172779083252,,,
