epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,214,,,,0.8501999974250793,0.4007052183151245
0,214,,,0.7826370000839233,,
1,429,,,,0.876800000667572,0.3433229923248291
1,429,,,0.4606718122959137,,
2,644,,,,0.8840000033378601,0.3196800947189331
2,644,,,0.39371320605278015,,
3,859,,,,0.88919997215271,0.29533252120018005
3,859,,,0.34768033027648926,,
4,1074,,,,0.8881999850273132,0.296741783618927
4,1074,,,0.3285292387008667,,
5,1289,,,,0.9016000032424927,0.2701062262058258
5,1289,,,0.3056817054748535,,
6,1504,,,,0.9014000296592712,0.26216551661491394
6,1504,,,0.28639185428619385,,
7,1719,,,,0.9067999720573425,0.25817784667015076
7,1719,,,0.27224355936050415,,
8,1934,,,,0.9064000248908997,0.25686222314834595
8,1934,,,0.2584654986858368,,
9,2149,,,,0.9070000052452087,0.2680366039276123
9,2149,,,0.24699421226978302,,
10,2364,,,,0.906000018119812,0.2692137360572815
10,2364,,,0.23665079474449158,,
11,2579,,,,0.906000018119812,0.277511328458786
11,2579,,,0.22744379937648773,,
12,2794,,,,0.9082000255584717,0.2580546438694
12,2794,,,0.2182110995054245,,
13,3009,,,,0.9125999808311462,0.2541123032569885
13,3009,,,0.21033428609371185,,
14,3224,,,,0.9107999801635742,0.2587381899356842
14,3224,,,0.19954805076122284,,
15,3439,,,,0.9121999740600586,0.26183265447616577
15,3439,,,0.19391895830631256,,
16,3654,,,,0.9101999998092651,0.26476341485977173
16,3654,,,0.18997350335121155,,
17,3869,,,,0.9079999923706055,0.2775334119796753
17,3869,,,0.1823188215494156,,
18,4084,,,,0.907800018787384,0.2754979133605957
18,4084,,,0.1752946674823761,,
19,4299,,,,0.9100000262260437,0.27221906185150146
19,4299,,,0.16657514870166779,,
20,4300,0.9107000231742859,0.2607592046260834,,,
