epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,214,,,,0.8216000199317932,0.47095775604248047
0,214,,,0.7444534301757812,,
1,429,,,,0.8434000015258789,0.41209667921066284
1,429,,,0.49931174516677856,,
2,644,,,,0.8640000224113464,0.3733943700790405
2,644,,,0.4315398931503296,,
3,859,,,,0.8691999912261963,0.33888673782348633
3,859,,,0.403973788022995,,
4,1074,,,,0.8741999864578247,0.3369177579879761
4,1074,,,0.38024500012397766,,
5,1289,,,,0.878600001335144,0.32361021637916565
5,1289,,,0.3614178001880646,,
6,1504,,,,0.8790000081062317,0.3272239863872528
6,1504,,,0.3506382703781128,,
7,1719,,,,0.8845999836921692,0.3101385235786438
7,1719,,,0.33352500200271606,,
8,1934,,,,0.8885999917984009,0.29742518067359924
8,1934,,,0.33131372928619385,,
9,2149,,,,0.8948000073432922,0.28327706456184387
9,2149,,,0.32013562321662903,,
10,2364,,,,0.8863999843597412,0.29487040638923645
10,2364,,,0.31515204906463623,,
11,2579,,,,0.8949999809265137,0.2979375123977661
11,2579,,,0.3068562150001526,,
12,2794,,,,0.8894000053405762,0.29359275102615356
12,2794,,,0.3027738928794861,,
13,3009,,,,0.8992000222206116,0.27192047238349915
13,3009,,,0.2947664260864258,,
14,3224,,,,0.8952000141143799,0.2843330204486847
14,3224,,,0.2961142659187317,,
15,3439,,,,0.8920000195503235,0.2871394455432892
15,3439,,,0.29094234108924866,,
16,3654,,,,0.8925999999046326,0.2832592725753784
16,3654,,,0.28340789675712585,,
17,3869,,,,0.8966000080108643,0.2643536329269409
17,3869,,,0.27992573380470276,,
18,4084,,,,0.902400016784668,0.26519861817359924
18,4084,,,0.2722052335739136,,
19,4299,,,,0.8978000283241272,0.2651517689228058
19,4299,,,0.2693939805030823,,
20,4300,0.897599995136261,0.27342918515205383,,,
