epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,214,,,,0.8618000149726868,0.3941841423511505
0,214,,,0.7199048399925232,,
1,429,,,,0.8604000210762024,0.380144327878952
1,429,,,0.38105082511901855,,
2,644,,,,0.8644000291824341,0.3527320921421051
2,644,,,0.3235906660556793,,
3,859,,,,0.8938000202178955,0.29132378101348877
3,859,,,0.2896272540092468,,
4,1074,,,,0.8654000163078308,0.37810152769088745
4,1074,,,0.26825374364852905,,
5,1289,,,,0.9035999774932861,0.2506309449672699
5,1289,,,0.24878741800785065,,
6,1504,,,,0.8999999761581421,0.27496886253356934
6,1504,,,0.23628254234790802,,
7,1719,,,,0.8907999992370605,0.3057834506034851
7,1719,,,0.22805745899677277,,
8,1934,,,,0.9070000052452087,0.25031256675720215
8,1934,,,0.21660050749778748,,
9,2149,,,,0.9114000201225281,0.23834824562072754
9,2149,,,0.20580922067165375,,
10,2364,,,,0.9154000282287598,0.23544450104236603
10,2364,,,0.2010599970817566,,
11,2579,,,,0.9138000011444092,0.22437849640846252
11,2579,,,0.19523216784000397,,
12,2794,,,,0.9143999814987183,0.23343683779239655
12,2794,,,0.18776008486747742,,
13,3009,,,,0.9146000146865845,0.23549918830394745
13,3009,,,0.18538624048233032,,
14,3224,,,,0.8949999809265137,0.32603147625923157
14,3224,,,0.17951636016368866,,
15,3439,,,,0.9192000031471252,0.23021332919597626
15,3439,,,0.1714322566986084,,
16,3654,,,,0.9261999726295471,0.20904335379600525
16,3654,,,0.17040959000587463,,
17,3869,,,,0.9291999936103821,0.20428772270679474
17,3869,,,0.16547296941280365,,
18,4084,,,,0.9223999977111816,0.21428264677524567
18,4084,,,0.15756064653396606,,
19,4299,,,,0.9300000071525574,0.19484968483448029
19,4299,,,0.15928316116333008,,
20,4300,0.9275000095367432,0.20647864043712616,,,
