epoch,step,train_loss,val_acc,val_loss
0,214,,0.824400007724762,0.4676448106765747
0,214,0.6963346600532532,,
1,429,,0.8547999858856201,0.3865336775779724
1,429,0.45321714878082275,,
2,644,,0.864799976348877,0.3521677851676941
2,644,0.39388608932495117,,
3,859,,0.8569999933242798,0.37195807695388794
3,859,0.3654913604259491,,
4,1074,,0.8755999803543091,0.32489630579948425
4,1074,0.3391856551170349,,
5,1289,,0.8809999823570251,0.3077593147754669
5,1289,0.3235948979854584,,
6,1504,,0.8899999856948853,0.29282814264297485
6,1504,0.31478655338287354,,
