epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,214,,,,0.8510000109672546,0.40959617495536804
0,214,,,0.5401272177696228,,
1,429,,,,0.8831999897956848,0.3242636024951935
1,429,,,0.3678692579269409,,
2,644,,,,0.890999972820282,0.2936229109764099
2,644,,,0.32087627053260803,,
3,859,,,,0.892799973487854,0.28777530789375305
3,859,,,0.29742199182510376,,
4,1074,,,,0.895799994468689,0.2747012972831726
4,1074,,,0.28510159254074097,,
5,1289,,,,0.9025999903678894,0.2606029510498047
5,1289,,,0.271226167678833,,
6,1504,,,,0.9007999897003174,0.2628863751888275
6,1504,,,0.2556055784225464,,
7,1719,,,,0.9120000004768372,0.2338118702173233
7,1719,,,0.24998724460601807,,
8,1934,,,,0.9118000268936157,0.240470290184021
8,1934,,,0.2392157018184662,,
9,2149,,,,0.9165999889373779,0.22753046452999115
9,2149,,,0.23729686439037323,,
10,2364,,,,0.909600019454956,0.24052704870700836
10,2364,,,0.22645750641822815,,
11,2579,,,,0.9147999882698059,0.23043107986450195
11,2579,,,0.21955861151218414,,
12,2794,,,,0.9161999821662903,0.22361896932125092
12,2794,,,0.21428212523460388,,
13,3009,,,,0.9103999733924866,0.23676802217960358
13,3009,,,0.20663467049598694,,
14,3224,,,,0.9190000295639038,0.21928024291992188
14,3224,,,0.20958159863948822,,
15,3439,,,,0.9192000031471252,0.2159940004348755
15,3439,,,0.20001846551895142,,
16,3654,,,,0.909600019454956,0.2426224797964096
16,3654,,,0.194414421916008,,
17,3869,,,,0.920199990272522,0.21321041882038116
17,3869,,,0.1912093162536621,,
18,4084,,,,0.9210000038146973,0.2216453105211258
18,4084,,,0.18448121845722198,,
19,4299,,,,0.9172000288963318,0.24085810780525208
19,4299,,,0.1834312081336975,,
20,4300,0.9164000153541565,0.22851140797138214,,,
