epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,214,,,,0.8712000250816345,0.3537503182888031
0,214,,,0.6343161463737488,,
1,429,,,,0.8817999958992004,0.3187856376171112
1,429,,,0.37237614393234253,,
2,644,,,,0.8949999809265137,0.2825283408164978
2,644,,,0.31787073612213135,,
3,859,,,,0.902400016784668,0.2732413411140442
3,859,,,0.2796541452407837,,
4,1074,,,,0.8981999754905701,0.26649942994117737
4,1074,,,0.25519055128097534,,
5,1289,,,,0.9034000039100647,0.2626325786113739
5,1289,,,0.24481941759586334,,
6,1504,,,,0.8999999761581421,0.2603937089443207
6,1504,,,0.22251009941101074,,
7,1719,,,,0.9092000126838684,0.2492455095052719
7,1719,,,0.2123548686504364,,
8,1934,,,,0.9124000072479248,0.25352218747138977
8,1934,,,0.1970444619655609,,
9,2149,,,,0.9031999707221985,0.2653502821922302
9,2149,,,0.18663929402828217,,
10,2364,,,,0.9114000201225281,0.24694165587425232
10,2364,,,0.1787775158882141,,
11,2579,,,,0.9150000214576721,0.2516864240169525
11,2579,,,0.16548773646354675,,
12,2794,,,,0.9120000004768372,0.25191307067871094
12,2794,,,0.15569862723350525,,
13,3009,,,,0.9169999957084656,0.2531413435935974
13,3009,,,0.1508452296257019,,
14,3224,,,,0.9103999733924866,0.27187618613243103
14,3224,,,0.13992610573768616,,
15,3439,,,,0.9168000221252441,0.26284030079841614
15,3439,,,0.131236732006073,,
16,3654,,,,0.9160000085830688,0.2515592873096466
16,3654,,,0.12963128089904785,,
17,3869,,,,0.9143999814987183,0.27596235275268555
17,3869,,,0.12058643251657486,,
18,4084,,,,0.91839998960495,0.25480738282203674
18,4084,,,0.1171308383345604,,
19,4299,,,,0.9111999869346619,0.3079111576080322
19,4299,,,0.10790374875068665,,
20,4300,0.9122999906539917,0.28651246428489685,,,
