epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,214,,,,0.8632000088691711,0.37870416045188904
0,214,,,0.5135553479194641,,
1,429,,,,0.8924000263214111,0.2927531898021698
1,429,,,0.3321315050125122,,
2,644,,,,0.9039999842643738,0.26290586590766907
2,644,,,0.2892693281173706,,
3,859,,,,0.8974000215530396,0.27161404490470886
3,859,,,0.2606125473976135,,
4,1074,,,,0.8939999938011169,0.2825533449649811
4,1074,,,0.24504289031028748,,
5,1289,,,,0.9014000296592712,0.26359617710113525
5,1289,,,0.23023715615272522,,
6,1504,,,,0.9178000092506409,0.22111254930496216
6,1504,,,0.21763281524181366,,
7,1719,,,,0.9154000282287598,0.2354419231414795
7,1719,,,0.20592129230499268,,
8,1934,,,,0.925000011920929,0.20692849159240723
8,1934,,,0.1971605122089386,,
9,2149,,,,0.9182000160217285,0.22494721412658691
9,2149,,,0.18908673524856567,,
10,2364,,,,0.9146000146865845,0.24117308855056763
10,2364,,,0.18228590488433838,,
11,2579,,,,0.9273999929428101,0.19218532741069794
11,2579,,,0.17556019127368927,,
12,2794,,,,0.923799991607666,0.2122245877981186
12,2794,,,0.17258292436599731,,
13,3009,,,,0.9264000058174133,0.2119167298078537
13,3009,,,0.16216683387756348,,
14,3224,,,,0.9258000254631042,0.20637187361717224
14,3224,,,0.15634357929229736,,
15,3439,,,,0.9300000071525574,0.20094364881515503
15,3439,,,0.15369753539562225,,
16,3654,,,,0.9272000193595886,0.21025441586971283
16,3654,,,0.14915040135383606,,
17,3869,,,,0.9309999942779541,0.19402387738227844
17,3869,,,0.1431223452091217,,
18,4084,,,,0.9264000058174133,0.2050328403711319
18,4084,,,0.13994742929935455,,
19,4299,,,,0.9308000206947327,0.19621339440345764
19,4299,,,0.13538457453250885,,
20,4300,0.9232000112533569,0.21643751859664917,,,
