epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,214,,,,0.8726000189781189,0.33558595180511475
0,214,,,0.5075451731681824,,
1,429,,,,0.8853999972343445,0.31057271361351013
1,429,,,0.32603028416633606,,
2,644,,,,0.8938000202178955,0.27872663736343384
2,644,,,0.279941201210022,,
3,859,,,,0.8888000249862671,0.29458916187286377
3,859,,,0.2555684447288513,,
4,1074,,,,0.9039999842643738,0.25299662351608276
4,1074,,,0.23754797875881195,,
5,1289,,,,0.9128000140190125,0.23613221943378448
5,1289,,,0.2242528200149536,,
6,1504,,,,0.9225999712944031,0.21245768666267395
6,1504,,,0.21221458911895752,,
7,1719,,,,0.9161999821662903,0.2321201115846634
7,1719,,,0.20321962237358093,,
8,1934,,,,0.9196000099182129,0.21351704001426697
8,1934,,,0.1903780698776245,,
9,2149,,,,0.9174000024795532,0.2300208956003189
9,2149,,,0.1831308901309967,,
10,2364,,,,0.9236000180244446,0.2215188890695572
10,2364,,,0.1763182133436203,,
11,2579,,,,0.9265999794006348,0.19681739807128906
11,2579,,,0.16845713555812836,,
12,2794,,,,0.9240000247955322,0.22385671734809875
12,2794,,,0.16630573570728302,,
13,3009,,,,0.9273999929428101,0.21230915188789368
13,3009,,,0.15808218717575073,,
14,3224,,,,0.9326000213623047,0.20497432351112366
14,3224,,,0.15114082396030426,,
15,3439,,,,0.9308000206947327,0.20434734225273132
15,3439,,,0.14543302357196808,,
16,3654,,,,0.9287999868392944,0.19753998517990112
16,3654,,,0.14379017055034637,,
17,3869,,,,0.9315999746322632,0.19283367693424225
17,3869,,,0.13672561943531036,,
18,4084,,,,0.9345999956130981,0.18424692749977112
18,4084,,,0.1326134353876114,,
19,4299,,,,0.9297999739646912,0.18876855075359344
19,4299,,,0.12904563546180725,,
20,4300,0.9283000230789185,0.20924367010593414,,,
